PONumber,PODate,VendorAcct,VendorName,ExpReceiveDate,DateReceived,SpecialInstructions1,SpecialInstructions2,MiscChgDesc,MiscChgAmt,SpecialInstructions3,WHCode,WHDescription,ApprovedBy,ConfirmationNum,NumOrderLines,PurchTotal,TaxableAmt,SalesTaxAmt,FreightAmt,PpdDeposit,TotalDue,CODAmount,TotalShipCubes,TaxAreaCode,TotalShipWgt,TaxAreaDescription,TaxRate,POPendingFlag,StatusCode,Status,POIssuedFlag,IssuedByUser,PODateIssued,POIssueMethod,POPrintedFlag,POReceivedFlag,ReceivedByUser,TransType,TransSource,FiscalYear,PostPeriod,PostPass,PostedFlag,IsBackorderFlag,POInvoicedFlag,InvcNum,POVendorName,POAddress1,POAddress2,POCity,POState,POZip,POCountry,POContactName,POTelephone,POFax,Terms,CODFlag,TaxFlag,Carrier,FrtPpdCol,MinPOAmt,MinPOWgt,MinPOCubes,ShipVendorName,ShipAddress1,ShipAddress2,ShipCity,ShipState,ShipZip,ShipAttention,ShipTelephone,EnteredTimeStamp,EnteredByUser,LastModifyTimeStamp,LastModifiedByUser
216076,4/8/2026,DADEP100,DADE PAPER,,4/10/2026,,,,,0,*MAIN,Main Warehouse,,,4,998.6,0,0,0,0,998.6,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/8/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,N,,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/8/2026 2:22:35 PM,NATE,4/10/2026 11:06:56 AM,NATE
216078,4/9/2026,BOXPAC,"BOX ACQUISITIONS, LLC",,4/10/2026,,,,,0,*MAIN,Main Warehouse,,,8,3577.3,0,0,0,0,3577.3,0,42,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/9/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,N,,"BOX PACKAGING, INC.",2650 GALVIN DR,,ELGIN,IL,60124,,,847-783-9000,,130,N,N,Best Way,P,0,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/9/2026 1:26:40 PM,NATE,4/9/2026 1:26:40 PM,NATE
216079,4/9/2026,DADEP100,DADE PAPER,,4/10/2026,,,,,0,*MAIN,Main Warehouse,,,13,2495.14,0,0,0,0,2495.14,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/9/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,N,,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/9/2026 1:56:08 PM,NATE,4/10/2026 11:09:21 AM,NATE
216052,3/18/2026,BOCBOA,"BOCKS BOARD PACKAGING,INC",,4/9/2026,,,,,0,*MAIN,Main Warehouse,,,5,3487.2,0,0,0,0,3487.2,0,2809.65,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/23/2026,EMail,N,Y,NATE,PO,PO,2026,4,2,Y,N,N,,"BOCKS BOARD PACKAGING,INC",2431 OSBORNE ROAD,SUITE C,ST MARYS,GA,31558,,SHERREE SOUTHWICK,1-877-210-0418,1-912-510-6488,N30,N,N,Best Way,P,3000,7000,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/18/2026 1:13:23 PM,NATE,3/23/2026 9:36:03 AM,NATE
216060,3/25/2026,STOROP,"STOROPACK, INC.",,4/9/2026,,,,,0,*MAIN,Main Warehouse,,,3,2611.92,0,0,0,0,2611.92,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/25/2026,EMail,N,Y,NATE,PO,PO,2026,4,2,Y,N,Y,5016981362,"STOROPACK, INC.",,"DEPT C, LOCATION 00207",CINCINNATI,OH,45264,,kay carrier,1-800-827-7225,1-888-874-3181,N30,N,N,BEST WAY,P,3500,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/25/2026 8:00:14 AM,NATE,3/25/2026 8:00:14 AM,NATE
216072,4/6/2026,DADEP100,DADE PAPER,,4/9/2026,,,,,0,*MAIN,Main Warehouse,,,10,2207.99,0,0,0,0,2207.99,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/6/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,Y,41254357,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/6/2026 1:37:27 PM,NATE,4/9/2026 7:58:59 AM,NATE
216070-1,4/3/2026,DADEP100,DADE PAPER,,4/9/2026,,,,,0,*MAIN,Main Warehouse,,,2,44.97,0,0,0,0,44.97,0,0,0,,(UnAssigned),0,N,R,Received,N,,4/3/2026,,N,Y,NATE,PO,PO,2026,4,2,Y,Y,Y,41254355,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/6/2026 11:47:50 PM,DBQ,,
216074,4/7/2026,DADEP100,DADE PAPER,,4/9/2026,,,,,0,*MAIN,Main Warehouse,,,5,1587.06,0,0,0,0,1587.06,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/7/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,Y,41271827,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/7/2026 2:58:03 PM,NATE,4/7/2026 2:58:03 PM,NATE
216077,4/9/2026,LITTLE,"LITTLE AND CO., INC.",,4/9/2026,,,,,0,*MAIN,Main Warehouse,,,4,24307.4,0,0,0,0,24307.4,0,0,82675,,(UnAssigned),0,Y,R,Received,Y,NATE,4/9/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,Y,63316,"LITTLE AND CO., INC.",P.O. BOX 1849,,EATON PARK,FL,33840-1849,,TOM HARMON,1-863-665-4887,1-561-547-8506,N30,N,N,Best Way,P,0,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/9/2026 7:53:35 AM,NATE,4/9/2026 7:53:35 AM,NATE
215868-1,11/12/2025,DISLAB,DISCOUNT LABELS,,4/8/2026,,,,,0,*MAIN,Main Warehouse,,,1,212.4,0,0,0,0,212.4,0,0,0,,(UnAssigned),0,N,R,Received,N,,11/12/2025,,N,Y,NATE,PO,PO,2026,4,2,Y,Y,N,,DISCOUNT LABELS,,4115 PROFIT COURT,NEW ALBANY,IN,47150,,,800/995-9500,800-995-9600,CC,N,N,UPS,P,0,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,2/11/2026 11:46:31 PM,DBQ,,
216002,2/19/2026,LADPRO,BERRY,,4/8/2026,,,,,0,*MAIN,Main Warehouse,,,4,741.63,0,0,0,0,741.63,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,2/19/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,Y,10954818,BERRY,,155 JACKSON ROAD,DEVENS,MA,01434-5614,,,800-446-3639,800-253-5246,N30,N,N,UPS,P,0,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,2/19/2026 9:50:08 AM,NATE,2/19/2026 9:50:08 AM,NATE
216067,3/31/2026,DADEP100,DADE PAPER,,4/6/2026,,,,,0,*MAIN,Main Warehouse,,,5,1310.35,0,0,0,0,1310.35,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/31/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,Y,41189718,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/31/2026 2:43:56 PM,NATE,4/6/2026 11:21:59 AM,NATE
216069,4/1/2026,DADEP100,DADE PAPER,,4/6/2026,,,,,0,*MAIN,Main Warehouse,,,9,2697.38,0,0,0,0,2697.38,0,60,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/1/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,Y,41205961,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/1/2026 1:42:32 PM,NATE,4/1/2026 1:42:32 PM,NATE
216070,4/3/2026,DADEP100,DADE PAPER,,4/6/2026,,,,,0,*MAIN,Main Warehouse,,,12,5731.23,0,0,0,0,5731.23,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,4/3/2026,Call,N,Y,NATE,PO,PO,2026,4,2,Y,N,N,,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,4/3/2026 11:39:45 AM,NATE,4/3/2026 11:39:45 AM,NATE
216064,3/27/2026,WESPLA,WESTERN PLASTICS,,3/31/2026,,,,,0,*MAIN,Main Warehouse,,,3,6548.4,0,0,0,0,6548.4,0,4147.2,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/27/2026,EMail,N,Y,NATE,PO,PO,2026,3,2,Y,N,N,,WESTERN PLASTICS,P.O. BOX 1636,,CALHOUN,GA,30703,,michelle knapp,1(706)625-5260,706-625-0003,CC,N,N,Best Way,P,0,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/27/2026 12:42:41 PM,NATE,3/27/2026 12:42:41 PM,NATE
216065,3/30/2026,DADEP100,DADE PAPER,,3/31/2026,,,,,0,*MAIN,Main Warehouse,,,11,2141.31,0,0,0,0,2141.31,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/30/2026,Call,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,41172662,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/30/2026 2:39:13 PM,NATE,3/30/2026 2:39:13 PM,NATE
216059,3/24/2026,DADEP100,DADE PAPER,,3/30/2026,,,,,0,*MAIN,Main Warehouse,,,6,703.57,0,0,0,0,703.57,0,109.8,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/24/2026,Call,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,41109166,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/24/2026 2:53:10 PM,NATE,3/24/2026 2:53:10 PM,NATE
216063,3/26/2026,DADEP100,DADE PAPER,,3/30/2026,,,,,0,*MAIN,Main Warehouse,,,2,644.98,0,0,0,0,644.98,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/26/2026,Call,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,41142190,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/26/2026 2:53:17 PM,NATE,3/26/2026 2:53:17 PM,NATE
216066,3/30/2026,DADEP100,DADE PAPER,,3/30/2026,,,,,0,*MAIN,Main Warehouse,,,2,2658.63,0,0,0,0,2658.63,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/30/2026,Call,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,41157293,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/30/2026 3:23:57 PM,NATE,3/30/2026 3:23:57 PM,NATE
216061,3/25/2026,DADEP100,DADE PAPER,,3/26/2026,,,,,0,*MAIN,Main Warehouse,,,4,1694.19,0,0,0,0,1694.19,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/25/2026,Call,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,41125774,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/25/2026 3:03:06 PM,NATE,3/26/2026 3:44:42 PM,NATE
216058,3/23/2026,DADEP100,DADE PAPER,,3/24/2026,,,,,0,*MAIN,Main Warehouse,,,15,2027.66,0,0,0,0,2027.66,0,40,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/23/2026,Call,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,41091758,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/23/2026 2:26:48 PM,NATE,3/24/2026 1:42:27 PM,NATE
216032-1,3/4/2026,DADEP100,DADE PAPER,,3/23/2026,,,,,0,*MAIN,Main Warehouse,,,1,171.2,0,0,0,0,171.2,0,0,0,,(UnAssigned),0,N,R,Received,N,,3/4/2026,,N,Y,NATE,PO,PO,2026,3,2,Y,Y,Y,41076900,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/5/2026 11:48:28 PM,DBQ,,
216045,3/16/2026,DADEP100,DADE PAPER,,3/23/2026,,,,,0,*MAIN,Main Warehouse,,,3,1166.9,0,0,0,0,1166.9,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/23/2026,Call,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,41011950,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/16/2026 10:40:32 AM,NATE,3/23/2026 2:05:11 PM,NATE
216047,3/17/2026,SANEC100,SANECK SAFETY,,3/23/2026,,,,,0,*MAIN,Main Warehouse,,,1,3868,0,0,0,0,3868,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/17/2026,EMail,N,Y,NATE,PO,PO,2026,3,2,Y,N,N,,SANECK SAFETY,5037 Pine Creek Dr.,,Westerville,OH,43081,,,6148900467,,(UNASSIGNED),N,N,Best Way,P,0,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/17/2026 10:21:51 AM,NATE,3/17/2026 10:21:51 AM,NATE
216051,3/17/2026,DADEP100,DADE PAPER,,3/23/2026,,,,,0,*MAIN,Main Warehouse,,,3,366.19,0,0,0,0,366.19,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/17/2026,Call,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,41029483,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/17/2026 2:42:45 PM,NATE,3/23/2026 1:30:30 PM,NATE
216057,3/20/2026,DADEP100,DADE PAPER,,3/23/2026,,,,,0,*MAIN,Main Warehouse,,,6,2567.15,0,0,0,0,2567.15,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/20/2026,Call,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,41076901,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/20/2026 2:03:01 PM,NATE,3/20/2026 2:03:01 PM,NATE
216054,3/18/2026,DADEP100,DADE PAPER,,3/20/2026,,,,,0,*MAIN,Main Warehouse,,,8,2033.16,0,0,0,0,2033.16,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/18/2026,Call,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,41044900,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/18/2026 2:49:37 PM,NATE,3/20/2026 9:40:56 AM,NATE
216009,2/23/2026,DADEP100,DADE PAPER,,3/19/2026,,,,,0,*MAIN,Main Warehouse,,,6,19118.05,0,0,0,0,19118.05,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,2/25/2026,EMail,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,41086851,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,2/23/2026 8:46:16 AM,NATE,2/25/2026 8:22:21 AM,NATE
216034,3/5/2026,DADEP100,DADE PAPER,,3/17/2026,,,,,0,*MAIN,Main Warehouse,,,2,1147.14,0,0,0,0,1147.14,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/5/2026,Call,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,40898802,DADE PAPER,4102 BULLS BAY HIGHWAY #7,,JACKSONVILLE,FL,32219,,,904-783-9490 - EXT 112,904-783-4181,N30,N,N,Best Way,P,200,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/5/2026 2:19:30 PM,NATE,3/17/2026 9:10:09 AM,NATE
216035,3/6/2026,BOXPAC,"BOX ACQUISITIONS, LLC",,3/17/2026,,,,,0,*MAIN,Main Warehouse,,,6,1620.46,0,0,0,0,1620.46,0,0,0,,(UnAssigned),0,Y,R,Received,Y,NATE,3/6/2026,Call,N,Y,NATE,PO,PO,2026,3,2,Y,N,Y,INV02267029,"BOX PACKAGING, INC.",2650 GALVIN DR,,ELGIN,IL,60124,,,847-783-9000,,130,N,N,Best Way,P,0,0,0,Unlimited Florida Sales,545 E. 4th Street,,Jacksonville,FL,32206,,904-355-2033,3/6/2026 11:37:18 AM,NATE,3/17/2026 9:12:57 AM,NATE
