CustAcct,CustomerName,Address1,Address2,City,State,Zip,OfficePhone,OfficeFax,OfficeContactFirstName,OfficeContactLastName,OfficeContactEmailAddress,SalesContactFirstName,ARContactFirstName,SalesContactLastName,SalesContactEmailAddress,ARContactLastName,ARContactEmailAddress,CCContactFirstName,CCContactLastName,CCContactEmailAddress,WebAddress,BranchCode,SmanCode,SalesmanName,MarketGroup,MarketGroupDescription,TaxAreaCode,TaxAreaDescription,FedTaxFlag,FedTaxAreaCode,FedTaxResaleNum,FedTaxAreaDescription,Terms,LastSaleDate,CreditLimit,CreditComments1,CreditComments2,CurBalance,AgeBal1,AgeBal2,AgeBal3,AgeBal4,AgeBal5,AgeBal6,Carrier,FOB,FrtPpdCollect,TaxFlag,ResaleTaxNum,CustDiscRate,ComFlag,CustComRate,ServiceChgFlag,PrintStatementFlag,DeliveryRouteCode,DeliverySeqNum,DeliveryRouteDesc,PrintPricesOnPickFlag,ShipToFlag,NumShipTos,PrimaryShipToCode,PrimaryShipCustomerName,PrimaryShipAddress1,PrimaryShipAddress2,PrimaryShipCity,PrimaryShipState,PrimaryShipZip,PrimaryShipAttention,PrimaryShipInstructions1,PrimaryShipInstructions2,PrimaryShipInstructions3,CustPriceOptDesc,CustPriceCtrl,CustPriceOpt,CustPriceBrkt,CustPricePct,CustPriceChgCtrl,Comments1,Comments2,Comments3,BillingInstructions1,BillingInstructions2,ShippingInstructions1,AutoCreditHoldOpt,ShippingInstructions2,ShippingInstructions3,PORequiredFlag,BlanketPONum,WHCode,PmtGroupCode,PmtGroupDescription,PricingClassCode,PricingClassDesc,ChargeFrtFlag,TaxFrtFlag,KeyCust,SalesClass,CalcClass,CustStatus,OEAddCustPartNumLineFlag,JMCatCustFlag,CSSCustFlag,CSRLastLoginDate,CSRTotLogins,CSRFirstLoginDate,CSRCurLogins,CorpAcctCode,CorpCurrentBudget,CorpLastBudget,CorpMaxOrderTotal,InvcIssueOpt,InvcIssueContact,InvcCopySendFlag,InvcCopySendVia,InvcCopyContact,SendInvcWithDeliveryFlag,OrderConfirmSendFlag,OrderConfirmSendVia,OrderConfirmContact,OrderConfirm2SendVia,OrderConfirm2Contact,ShipNoticeSendFlag,ShipNoticeSendVia,ShipNoticeContact,Field1,Field2,SetupTimeStamp,SetupByUser,LastModifyTimeStamp,LastModifyByUser,ObsoleteFlag,CustID
101002,PRIMARILY POTTERY,,,,,,,,,,,,,,,,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),C.O.D,1/21/2026,50,,,0,0,0,0,0,0,0,WILL CALL,Destination,P,Y,,0,Y,0,N,P,17,0,Customer Pickup,Y,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,Collect last COD $21.38 from,4-25-13 RF,,,,,,,,N,,0,,(UnAssigned),N,N,,(UnAssigned),,,D,A,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,Y,N,E,,E,,N,E,,11,,8/14/2009 2:44:03 PM,CMS,5/3/2013 12:20:01 PM,JOHN,N,10016
101180,CAROLINA LUMBER CO.,575 PHELPS STREET,,JACKSONVILLE,FL,32206,904-355-4531,904-634-0375,JAMIE,.,JIM@CLJAX.COM,,,,JAMIE,.,JIM@CLJAX.COM,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,,500,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,judge@fdn.com,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:04 PM,CMS,11/1/2016 8:54:01 AM,BRITTANY,N,10019
101210,CITGO LUBE-BEACH BLVD,3227 BEACH BLVD.,,JACKSONVILLE,FL,32207,904-306-9393,904-306-9696,BRAD,.,cssmiller@comcast.net,,,,BRAD,.,cssmiller@comcast.net,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 10,3/10/2016,250,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,5,0,Southside,N,Y,2,BEACH,CITGO LUBE-BEACH BLVD,3227 BEACH BLVD,,JACKSONVILLE,FL,32207,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,C,E,I,N,Y,N,,,0,0,0,0,0,0,M,BRAD,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:04 PM,CMS,6/16/2015 11:25:38 AM,STEVE,N,10020
101421,U.S. PATRIOT FIREARMS,4224 ATLANTIC BLVD,,JACKSONVILLE,FL,32207,904-399-1221,904-399-4002,VICTORIA,VIC,,,,,KIM,KIM,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),C.O.D. BY REQUEST,12/5/2025,200,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),Y,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,D,A,N,Y,N,,,0,0,0,0,0,0,P,KIM,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:06 PM,CMS,5/2/2022 12:48:05 PM,NATE,N,10025
102020,DELTA FOUNTAINS,11494 COLUMBIA PARK DR W.,SUITE 4,JACKSONVILLE,FL,32258,904-886-9030,904-886-9089,AMY,.,,,,,Griffin,AP.,GRIFFIN@DELTAFOUNTAINS.COM,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,6/12/2024,500,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,26-8012070257-2 *18,0,Y,0,N,P,5,0,Southside,N,Y,1,26,DELTA FOUNTAINS,11494 COLUMBIA PARK DR W.,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,C,E,A,N,Y,N,,,0,0,0,0,0,0,M,Erin,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:07 PM,CMS,6/13/2024 11:36:29 AM,NATE,N,10030
102100,DUVAL GLASS & MIRROR INC.,P.O. BOX 60277,,JACKSONVILLE,FL,32236,904-389-6854,904-389-8783,alice,thornburg,ATHORNBURG@DUVALGLASS.COM,,,,alice,thornburg,ATHORNBURG@DUVALGLASS.COM,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,4/2/2026,500,,,153.81,153.81,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),N,Y,1,2100,"DUVAL GLASS & MIRROR, INC",623 WESTBROOK ROAD,"JACKSONVILLE, FL 32209",,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,D,A,N,Y,N,,,0,0,0,0,0,0,M,alice,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:07 PM,CMS,12/30/2025 9:11:01 AM,NATE,N,10031
102415,FASTGLAS,4226 SPRINGROVE STREET,,JACKSONVILLE,FL,32209,904-765-2222,904-765-0023,RICHARD,LUPISELLA,rlupisella@comcast.net,,,,RICHARD,LUPISELLA,rlupisella@comcast.net,,,,,FLORIDASALES,51,RANDY FRONTZ,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),CREDIT CARD,11/20/2020,1000,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,SEE CUST NOTES,,,,,,,,,N,,0,,(UnAssigned),N,N,,(UnAssigned),,X,X,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,Y,N,E,,E,,N,E,,11,,8/14/2009 2:44:08 PM,CMS,3/24/2021 2:25:34 PM,NATE,N,10036
103380,JACKSONVILLE BAPTIST,THEOLOGICAL SEMINARY,P.O. BOX 38008,JACKSONVILLE,FL,32205,904-388-9590,904-388-4407,SARAH,PUNYA,,,,,SARAH,PUNYA,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),EX,Tax Exempt,N,,,(UnAssigned),NET 30,6/10/2013,1000,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,7,0,Westside,N,Y,1,3380,J B T S,1165 S EDGEWOOD AVE,,JACKSONVILLE,FL,32205,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:10 PM,CMS,9/4/2009 8:53:03 AM,JACKIE,N,10041
103530,GREAT ATLANTIC NEWS LLC,7037 COMMONWEALTH AVE,SUITE 9,JACKSONVILLE,FL,32220,904-783-2350,904-786-6026,FRANK,PITKAT,,,,,FRANK,PITKAT,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,7/13/2009,5000,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),Y,C,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:10 PM,CMS,11/10/2009 12:29:13 PM,RANDY,N,10042
104100,INTRANET LAB SERVICES,3838 KILLEARN COURT,,TALLAHASSEE,FL,32309,850-385-9400,850-385-2469,AVA,DARAN,intranetls@earthlink.net,,,,AVA,DARAN,intranetls@earthlink.net,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,1/26/2016,500,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,M,AVA,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:10 PM,CMS,2/3/2016 9:05:57 AM,STEVE,N,10043
104188,INDOFF BUSINESS PRODUCTS,P.O. BOX 350725,,PALM COAST,FL,32135,386-986-1525,386-986-1526,FRED,OTTO,,,,,FRED,OTTO,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),EX,Tax Exempt,N,,,(UnAssigned),NET 30,5/30/2008,2500,,,0,0,0,0,0,0,0,Best Way,Destination,P,N,78-8013416671-0,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,Y,N,E,,E,,N,E,,11,,8/14/2009 2:44:10 PM,CMS,,,N,10044
104191,ICS LOGISTICS,1505 DENNIS ST.,,JACKSONVILLE,FL,32204,904-358-0027,904-358-0717,DUSTY,LOCKE,,,,,DUSTY,LOCKE,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,,1000,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:11 PM,CMS,,,N,10045
104210,"INVOTEC INTERNATIONAL,INC",6833 PHILLIPS IND BLVD,,JACKSONVILLE,FL,32256,904-880-1229,904-886-9517,SUSAN,TAYLOR,,,,,SUSAN,TAYLOR,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,6/24/2009,500,,,0,0,0,0,0,0,0,Best Way,Destination,P,N,26-8011957706-6,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:11 PM,CMS,,,N,10046
104380,"MLXL PRODUCTIONS, INC.",P.O. BOX 60428,,JACKSONVILLE,FL,32236,904-350-0048,904-350-0047,SAM,YATES,syates@mlxlpro.com,,,,SAM,YATES,syates@mlxlpro.com,,,,,FLORIDASALES,50,RANDY FRONTZ,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,1/27/2016,500,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),N,Y,1,4380,"MLXL PRODUCTIONS, INC.",8475 WESTERN WAY,SUITE 150,JACKSONVILLE,FL,32256,MICHAEL BROWN,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,M,SAM,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:11 PM,CMS,2/3/2016 9:09:58 AM,STEVE,N,10048
104600,JAX CONVENIENCE FOOD STOR,3467 LAKESHORE BLVD,,JACKSONVILLE,FL,32210,904-388-9252,904-388-9252,KHALED,.,,,,,KHALED,.,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),C.O.D,9/16/2015,200,,,0,0,0,0,0,0,0,Best Way,Destination,P,N,26-8012367589-1,0,Y,0,N,P,0,0,(UnAssigned),Y,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:12 PM,CMS,7/7/2011 10:54:55 AM,JACKIE,N,10049
104690,"K.C. PETROLEUM, INC.",650 TALLEYRAND AVENUE,,JACKSONVILLE,FL,32202,904-693-3200,904-786-8441,DEBBIE,.,,,,,DEBBIE,.,,,,,,FLORIDASALES,50,RANDY FRONTZ,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,11/13/2025,1000,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,D,A,N,Y,N,,,0,0,0,0,0,0,M,MONICA,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:12 PM,CMS,1/5/2016 9:50:45 AM,STEVE,N,10050
104715,KEN FRONTZ,5665 HYDE PARK CIRCLE,,JACKSONVILLE,FL,32210,904-781-3673,,KEN,AND PAT,,,,,KEN,AND PAT,,,,,,FLORIDASALES,10,Randy Frontz,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),C.O.D. BY REQUEST,3/23/2021,1000,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),Y,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),N,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,Y,N,E,,E,,N,E,,11,,8/14/2009 2:44:12 PM,CMS,5/2/2012 12:17:24 PM,JACKIE,N,10051
104750,KEYSTONE AUTOMOTIVE,429 TALLEYRAND AVENUE,,JACKSONVILLE,FL,32202,904-354-2400,904-354-0097,ZUMAR,TORREZ,,JID,COLLINS EXT363,,,,,,,,,FLORIDASALES,100,RANDY FRONTZ,0,(UNASSIGNED),DV,Duval County,N,,,(UnAssigned),NET 30,9/29/2008,1500,,,0,0,0,0,0,0,0,Best Way,Destination,P,Y,,0,Y,0,N,P,0,0,(UnAssigned),N,N,0,,,,,,,,,,,,Use Item Price,i,I,,0,+,,,,,,,,,,N,,0,,(UnAssigned),Y,N,,(UnAssigned),,,E,I,N,Y,N,,,0,0,0,0,0,0,P,,N,E,,N,N,E,,E,,N,E,,11,,8/14/2009 2:44:12 PM,CMS,8/3/2012 3:00:46 PM,NEAL,N,10052
