VendorAcct,VendorGroupCode,VendorName,Address1,Address2,City,State,Zip,OfficePhone,OfficeFax,WebAddress,OfficeContact,OfficeContactEmailAddress,POContact,POContactEmailAddress,APContact,APContactEmailAddress,ServiceContact,ServiceContactEmailAddress,POVendorName,POAddress1,POAddress2,POCity,POState,POZip,CreditLimit,CreditComments1,CreditComments2,Exp1MajorAcct,Exp2MajorAcct,MinPOAmt,MinPOWgt,MinPOCubes,Terms,Carrier,TaxFlag,FrtPpdCol,CheckType,Eligible1099Flag,Comments1,Comments2,VCustAcctNum,LeadTimeDays,ReviewCycleDays,POIssueOption,Field1,Field2,YTDTotPurchases,CurBalance,AgeBal1,AgeBal2,AgeBal3,AgeBal4,AgeBal5,AgeBal6,PendingOrdersBal,AgeStatus,AgeDelinquentFlag,AgeDelinquentBal,AvePmtDays,FirstIssuePODate,LastIssuePODate,PONumber,LastAPInvcDate,LastAPPmtDate,SetupTimeStamp,SetupBy,LastModifyTimeStamp,LastModifyBy,ObsoleteFlag,VendorID
1TIMWA,AP,TW TELECOM,P.O. BOX 172567,ACCT #279878,DENVER,CO,80217,1-800-829-0420,301-361-7883,https://customerportal.twtelecom.com/Login.aspx?action=logou,,,,,,,,,TW TELECOM,7125 COLUMBIA GATEWAY DR,SUITE 200,COLUMBIA,MD,21046,0,,,6490,,0,0,0,N10,Best Way,N,P,OI,N,Login: Jackiek@fsuflsales.com,Email: Fsu9128,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,9,,,,4/1/2012,4/10/2012,8/14/2009 1:36:48 PM,CMS,3/7/2012 3:42:19 PM,JACKIE,N,10025
1TOMNE,AP,TOM NEHL TRUCK COMPANY,P.O. BOX 37558,,JACKSONVILLE,FL,32236,904/388-5573,904-384-2467,,,,,,,,,,TOM NEHL TRUCK COMPANY,P.O. BOX 37558,,JACKSONVILLE,FL,32236,0,,,6620,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,26,,,,11/1/2024,7/21/2025,8/14/2009 1:36:48 PM,CMS,9/11/2010 9:55:46 AM,JACKIE,N,10026
1WELDR,AP,THE WELLS & DREW COMPANY,P.O. BOX 10554,,JACKSONVILLE,FL,32247,904-399-1510,904-399-1884,,JEFF,,JEFF,,,,,,THE WELLS & DREW COMPANY,3414 GALILEE ROAD,,JACKSONVILLE,FL,32207,0,,,6170,,0,0,0,N20,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,25,,,,10/22/2025,2/4/2026,8/14/2009 1:36:48 PM,CMS,8/14/2012 8:29:35 AM,JACKIE,N,10027
1WESIN,AP,WESTFIELD INSURANCE,PAYMENT PROCESSING,P.O. BOX 9001566,LOUISVILLE,KY,40290,800-552-9134,,,,,,,,,,,WESTFIELD INSURANCE,PAYMENT PROCESSING,P.O. BOX 9001566,LOUISVILLE,KY,40290,0,,,6325,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,7,,,,11/5/2025,12/11/2025,8/14/2009 1:36:48 PM,CMS,10/22/2015 12:10:40 PM,STEVE,N,10028
2BARBA,AP,BANK OF AMERICA,P.O. BOX 15731,,WILMINGTON,DE,19886-5731,,,,,,,,,,,,BANK OF AMERICA,P.O. BOX 15731,,WILMINGTON,DE,19886-5731,0,,,2400,,0,0,0,COD,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,,,4/28/2022,4/28/2022,8/14/2009 1:36:48 PM,CMS,3/25/2015 11:16:01 AM,STEVE,N,10029
2LYNRO,AP,CITY OF JACKSONVILLE,231 E. FORSYTH ST.,ROOM 141,JACKSONVILLE,FL,32202,,,,,,,,,,,,CITY OF JACKSONVILLE,,231 E. FORSYTH ST. RM 141,JACKSONVILLE,FL,32202,0,,,6520,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,6,,,,10/15/2024,10/22/2024,8/14/2009 1:36:48 PM,CMS,11/7/2011 9:18:09 AM,JACKIE,N,10031
3ALLST,AP,ALLSTATE,P.O. BOX 660222,,DALLAS,TX,75266,904/777-3130,,,,,,,,,,,ALLSTATE,P.O. BOX 660222,,DALLAS,TX,75266,0,,,1200,,0,0,0,CC,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,,,,12/7/2007,8/14/2009 1:36:48 PM,CMS,12/22/2010 7:47:53 AM,JACKIE,N,10032
ABCCOM,PO,ABC COMPOUNDING,P.O. BOX 16247,,ATLANTA,GA,30321,1-800-795-9222,1-770-960-1059,www. abccompounding .com,ROSE,rose@abccompounding.com,ROSE,rose@abccompounding.com,,,,,ABC COMPOUNDING,P.O. BOX 16247,ACCT #5667,ATLANTA,GA,30321,0,,,1200,,0,2000,0,N30,Best Way,N,P,OI,N,ACCOUNT #5667,,,5,14,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,38,9/16/2009,4/10/2014,206842,4/9/2014,5/13/2014,8/14/2009 1:36:49 PM,CMS,1/31/2013 10:21:18 AM,JACKIE,N,10033
ACME,PO,"ACME,AN ITW COMPANY",,P.O. BOX 71506,CHICAGO,IL,60694,630/589-5100,,,,,ALLISON,,,,,,"ACME,AN ITW COMPANY",501 W. LAKE STREET,SUITE 105,ELMHURST,IL,60126,0,,,1200,,0,0,0,N30,PICKUP,N,P,OI,N,,,,2,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,9/6/2007,,,8/9/2007,8/14/2009 1:36:49 PM,CMS,,,N,10034
ACMWHO,PO,ACME WHOLESALE,P.O. BOX 16007,,ATLANTA,GA,30321,1-800-237-5911,1-866-582-9539,,RANDY,RANDY@ACMEWHOLESALESUPPLY.COM,RANDY,RANDY@ACMEWHOLESALESUPPLY.COM,,,,,ACME WHOLESALE,P.O. BOX 16007,,ATLANTA,GA,30321,0,,,1200,,0,0,0,N30,Best Way,N,P,OI,N,ACCOUNT #5667,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,32,10/26/2009,5/25/2011,202279,6/1/2011,7/7/2011,8/14/2009 1:36:49 PM,CMS,10/31/2013 9:22:51 AM,BRITTANY,N,10035
ADHTAP,PO,ADHESIVE TAPE PRODUCTS,11260 N.W. 91 STREET,,MIAMI,FL,33178,1-800-327-6745,1-888-887-8997,WWW.ADHESIVETAPE.COM,TONYA,TONYA@ADHESIVETAPE.COM,CUSTOMER,,,,,,ADHESIVE TAPE PRODUCTS,11260 N.W. 91 STREET,,MIAMI,FL,33178,0,,,1200,,0,0,0,CC,BEST WAY,N,P,OI,N,USE VISA ENDING IN -7673,,,5,21,EMail,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,10/20/2009,11/30/2020,213182,12/3/2020,12/31/2020,8/14/2009 1:36:49 PM,CMS,9/18/2019 9:52:17 AM,RANDY,N,10036
AGGSIG,PO,AGGRESSIVE SIGNS,,3365 WEST BEAVER STREET,JACKSONVILLE,FL,32254,904/388-7823,904-388-7896,,,,,,,,,,AGGRESSIVE SIGNS,,3365 WEST BEAVER STREET,JACKSONVILLE,FL,32254,0,,,1200,,0,0,0,N10,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,5/27/2003,,,12/7/2004,8/14/2009 1:36:49 PM,CMS,,,N,10037
AIRCE,PO,AIR COMPRESSOR EQUIPMENT,5281 EDGEWOOD CT,,JACKSONVILLE,FL,32205,,,,,,DORIS,,,,,,AIR COMPRESSOR EQUIPMENT,5281 EDGEWOOD CT,,JACKSONVILLE,FL,32205,0,,,1200,,0,0,0,CC,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,11/6/2006,,,11/28/2006,8/14/2009 1:36:49 PM,CMS,9/25/2012 11:31:42 AM,JACKIE,N,10038
AJAX,PO,AJAX TOOL,,,JACKSONVILLE,FL,32206,904-353-4783,,,,,,,,,,,AJAX TOOL,,,JACKSONVILLE,FL,32206,0,,,1200,,25,0,0,N30,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,12/1/2010,10/5/2012,204253,10/5/2012,10/5/2012,8/14/2009 1:36:49 PM,CMS,9/27/2012 1:24:09 PM,JOHN,N,10039
AKRMIL,PO,"AKRO-MILLS, INC.",,P.O. BOX 74030-S,CLEVELAND,OH,44194,330/253-5592,330-761-6348,,,,,,,,,,"AKRO-MILLS, INC.",,P.O. BOX 74030-S,CLEVELAND,OH,44194,0,,,1200,,0,0,0,N30,UPS,N,P,OI,N,,,,5,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,9/24/1996,,,9/24/1996,8/14/2009 1:36:50 PM,CMS,4/6/2012 9:26:45 AM,JOHN,N,10040
ALECO,PO,ALECO,,P.O. BOX 536708,ATLANTA,GA,30353,800/633-3120,256-248-2512,,,,JOHN,,,,,,ALECO,,P.O. BOX 536708,ATLANTA,GA,30353,0,,,1200,,0,0,0,N30,BEST WAY,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,16,10/2/2009,9/10/2018,211841,9/10/2018,9/21/2018,8/14/2009 1:36:50 PM,CMS,,,N,10041
ALECOR,PO,ALEMITE LLC,8082,P.O. BOX 7247,PHILADELPHIA,PA,19170-8082,1800-822-4579,,,,,,,,,,,ALEMITE LLC,8082,P.O. BOX 7247,PHILADELPHIA,PA,19170-8082,0,,,1200,,100,0,0,CC,Best Way,N,P,OI,N,,,4118,6,30,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,10/14/2009,7/9/2014,207263,7/14/2014,7/14/2014,8/14/2009 1:36:50 PM,CMS,4/17/2014 9:14:27 AM,JOHN,N,10042
ALLBRI,PO,ALL-BRITE SALES CO.,P.O. BOX 3359,,JACKSONVILLE,FL,32206,904-354-4687,904-353-1431,,,,,,,,,,ALL-BRITE SALES CO.,P.O. BOX 3359,,JACKSONVILLE,FL,32206,0,,,1200,,0,0,0,N30,PICKUP,N,P,OI,N,,,,4,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,25,8/23/2010,10/18/2010,201449,10/18/2010,11/8/2010,8/14/2009 1:36:50 PM,CMS,2/3/2017 12:10:35 PM,BRITTANY,N,10043
ALLPLA,PO,ALLIED PLASTICS,P.O. BOX 3125,,JACKSONVILLE,FL,32206,904/359-0386,904-353-4746,,FRAN,,FRAN,,,,,,ALLIED PLASTICS,159 E. 21ST STREET,,JACKSONVILLE,FL,32206,0,,,1200,,0,0,0,N30,PICKUP,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,10/4/2013,10/6/2013,205910,,9/27/2007,8/14/2009 1:36:50 PM,CMS,,,N,10044
ALLWHO,PO,ALLEN WHOLESALE,2403 North Market Street,,JACKSONVILLE,FL,32206,904-353-7341,,,,,,,,,,,ALLEN WHOLESALE,2403 N. MARKET STREET,,,,,0,,,1200,,0,0,0,N30,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,10/19/2011,10/19/2011,202878,10/20/2011,10/20/2011,8/14/2009 1:36:50 PM,CMS,9/25/2012 10:12:42 AM,JOHN,N,10045
ALOMA,PO,ALOMA SALES INC.,P.O.BOX 246,,OAKMONT,PA,15139,800/736-7662,412-828-7280,,,,,,,,,,ALOMA SALES INC.,P.O.BOX 246,,OAKMONT,PA,15139,0,,,1200,,50,0,0,N30,Best Way,N,P,OI,N,,,,0,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,49,11/17/2009,12/7/2009,200303,12/8/2009,1/20/2010,8/14/2009 1:36:50 PM,CMS,9/25/2012 10:13:52 AM,JOHN,N,10046
AMECAS,PO,AMERICAN CASTING & MFG CORP,,51 COMMERCIAL ST.,PLAINVIEW,NY,11803,1-860-674-1988,1-860-674-8204,,FRANCE,FRANCE@ACANDM.COM,FRANCE,FRANCE@ACANDM.COM,,,,,AMERICAN CASTING &,MANUFACTURING CORP.,51 COMMERCIAL ST.,PLAINVIEW,NY,11803,0,,,1200,,0,0,0,N30,UPS,N,P,OI,N,,,,14,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,42,12/2/2009,2/8/2021,213117,5/11/2021,5/14/2021,8/14/2009 1:36:51 PM,CMS,12/28/2015 9:39:27 AM,STEVE,N,10047
AMEINT,PO,AMERICAN INT'L ELECTRIC,,2835 PELLISSIER PLACE,WHITTIER,CA,90601,800/732-5377,562-908-5059,,,,,,,,,,AMERICAN INT'L ELECTRIC,,2835 PELLISSIER PLACE,WHITTIER,CA,90601,0,,,1200,,0,0,0,N30,UPS,N,P,OI,N,,,,5,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,1/8/2013,1/8/2013,204610,1/8/2013,1/8/2013,8/14/2009 1:36:51 PM,CMS,1/8/2013 11:46:00 AM,JACKIE,N,10048
AMETAP,PO,AMERITAPE,11236-100 ST JOHNS,INDUSTRIAL PARKWAY SOUTH,JACKSONVILLE,FL,32246,904/565-9999,904-641-7006,,,,,,,,,,AMERITAPE,11236-100 ST JOHNS,INDUSTRIAL PARKWAY SOUTH,JACKSONVILLE,FL,32246,0,,,1200,,0,0,0,N30,PICKUP,N,P,OI,N,,,,5,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,,,,9/16/2004,8/14/2009 1:36:51 PM,CMS,,,N,10049
AMEWIP,PO,"AMERICAN RAG & WIPERS,INC",,P.O. BOX 26913,JACKSONVILLE,FL,32226,904-353-7247,904-751-7088,,ANITA,,ANITA,,,,,,"AMERICAN RAG & WIPERS,INC",1717 EVERGREEN AVENUE,,JACKSONVILLE,FL,32208,0,,,1200,,0,0,0,N30,THEIR TRUCK,N,P,OI,N,,,,2,0,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,62,9/18/2009,1/18/2012,203225,2/18/2012,11/28/2012,8/14/2009 1:36:51 PM,CMS,6/9/2011 3:19:05 PM,JACKIE,N,10050
AMPLEX,PO,SAINT-GOBAIN ABRASIVES,AMPLEX,P.O.BOX 641403,PITTSBURGH,PA,15264,800/635-1992,800-242-1468,,,,,,,,,,SAINT-GOBAIN ABRASIVES,AMPLEX,P.O.BOX 641403,PITTSBURGH,PA,15264,0,,,1200,,0,0,0,N30,Best Way,N,P,OI,N,,,,6,14,Call,,,,0,0,0,0,0,0,0,0,Cur,N,0,0,,1/15/2007,,,2/16/2007,8/14/2009 1:36:51 PM,CMS,9/18/2009 9:23:45 AM,JOHN,N,10051
